Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xGp90,xAp90,xG+xA,npxGp90,npxG+xA,Matches
18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,22,19,"1,415",1,4,0,0,1,0,0.06,0.25,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34,Matches
480,Harry Wilson,wal WAL,"MF,FW",Bournemouth,22,1997,23,19,"1,446",7,0,0,0,1,0,0.44,0,0.44,0.44,0.44,3.5,3.5,1.8,0.22,0.11,0.33,0.22,0.33,Matches
127,Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,20,10,"1,092",2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,2,2,2,0.16,0.17,0.33,0.16,0.33,Matches
461,Theo Walcott,eng ENG,"MF,FW",Everton,30,1989,21,14,"1,070",1,2,0,0,1,0,0.08,0.17,0.25,0.08,0.25,2.3,2.3,1.7,0.19,0.14,0.33,0.19,0.33,Matches
413,Robert Snodgrass,sco SCO,"MF,FW",West Ham,31,1987,24,17,"1,511",5,5,0,0,4,0,0.3,0.3,0.6,0.3,0.6,2.5,2.5,2.8,0.15,0.17,0.32,0.15,0.32,Matches
145,Ryan Fraser,sco SCO,"MF,FW",Bournemouth,25,1994,28,21,"2,063",1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.3,3.3,4,0.14,0.18,0.32,0.14,0.32,Matches
376,Jay Rodriguez,eng ENG,FW,Burnley,30,1989,28,12,"1,379",5,0,1,1,1,0,0.33,0,0.33,0.26,0.26,5.1,4.4,0.4,0.33,0.03,0.36,0.29,0.31,Matches
262,John Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27,23,"2,069",4,3,0,0,4,0,0.17,0.13,0.3,0.17,0.3,4.3,4.3,2.7,0.19,0.12,0.31,0.19,0.31,Matches
202,Alex Iwobi,ng NGA,"MF,FW",Everton,23,1996,18,13,"1,170",1,0,0,0,0,0,0.08,0,0.08,0.08,0.08,2.1,2.1,2,0.16,0.15,0.31,0.16,0.31,Matches
364,Nathan Redmond,eng ENG,"MF,FW",Southampton,25,1994,23,23,"1,960",3,1,0,0,2,0,0.14,0.05,0.18,0.14,0.18,3.9,3.9,2.7,0.18,0.12,0.3,0.18,0.3,Matches
239,Manuel Lanzini,ar ARG,"MF,FW",West Ham,26,1993,19,12,"1,188",0,2,0,0,0,0,0,0.15,0.15,0,0.15,1.7,1.7,2.3,0.13,0.17,0.3,0.13,0.3,Matches
402,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,27,1992,17,16,"1,342",5,0,0,0,2,0,0.34,0,0.34,0.34,0.34,1.8,1.8,2.4,0.12,0.16,0.29,0.12,0.29,Matches
205,Daniel James,wal WAL,FW,Manchester Utd,21,1997,27,25,"2,175",3,6,0,0,3,0,0.12,0.25,0.37,0.12,0.37,3.1,3.1,4,0.13,0.16,0.29,0.13,0.29,Matches
175,?lkay Gündo?an,de GER,MF,Manchester City,28,1990,25,17,"1,589",2,1,1,2,7,0,0.11,0.06,0.17,0.06,0.11,4.3,2.8,2.4,0.24,0.14,0.38,0.16,0.29,Matches
404,Gylfi Sigurðsson,is ISL,MF,Everton,29,1989,26,23,"1,998",1,2,0,0,3,0,0.05,0.09,0.14,0.05,0.14,3,3,3.5,0.14,0.16,0.29,0.14,0.29,Matches
140,Pablo Fornals,es ESP,MF,West Ham,23,1996,27,15,"1,464",2,5,0,0,2,0,0.12,0.31,0.43,0.12,0.43,2.5,2.5,2,0.16,0.12,0.28,0.16,0.28,Matches
28,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,28,28,"2,393",8,1,0,0,5,0,0.3,0.04,0.34,0.3,0.34,5.7,5.7,1.6,0.21,0.06,0.27,0.21,0.27,Matches
138,John Fleck,sco SCO,MF,Sheffield Utd,27,1991,25,25,"2,189",5,2,0,0,7,0,0.21,0.08,0.29,0.21,0.29,3.4,3.4,3.2,0.14,0.13,0.27,0.14,0.27,Matches
